suite,config_id,env_label,seed,strategy,display,episode,width,height,fault_count,active_fault_count,offroute_fault_count,fault_probability,switch_episode,success,steps,mismatches,replans,shield_blocks,repeated_loop,patch_count,initial_prediction_error,final_prediction_error,initial_control_weighted_error,final_control_weighted_error,blocked_key_count,guard_true_positive,guard_false_positive,guard_precision,guard_recall,false_block_rate
stochastic_contradictions,p0.10,p0.10,0,nominal_no_repair,Nominal,0,31,13,3,3,0,0.1,,1,30,0,30,0,0,0,,0.0001861042183622829,,0.0029024767801857586,0.0,0.0,0.0,1.0,0.0,0.0
stochastic_contradictions,p0.10,p0.10,0,nominal_no_repair,Nominal,1,31,13,3,3,0,0.1,,1,30,0,30,0,0,0,,0.0001861042183622829,,0.0029024767801857586,0.0,0.0,0.0,1.0,0.0,0.0
stochastic_contradictions,p0.10,p0.10,0,nominal_no_repair,Nominal,2,31,13,3,3,0,0.1,,1,30,0,30,0,0,0,,0.0001861042183622829,,0.0029024767801857586,0.0,0.0,0.0,1.0,0.0,0.0
stochastic_contradictions,p0.10,p0.10,0,nominal_no_repair,Nominal,3,31,13,3,3,0,0.1,,1,30,0,30,0,0,0,,0.0001861042183622829,,0.0029024767801857586,0.0,0.0,0.0,1.0,0.0,0.0
stochastic_contradictions,p0.10,p0.10,0,nominal_no_repair,Nominal,4,31,13,3,3,0,0.1,,1,30,0,30,0,0,0,,0.0001861042183622829,,0.0029024767801857586,0.0,0.0,0.0,1.0,0.0,0.0
stochastic_contradictions,p0.10,p0.10,0,nominal_no_repair,Nominal,5,31,13,3,3,0,0.1,,0,220,208,13,0,1,0,,0.0001861042183622829,,0.0029024767801857586,0.0,0.0,0.0,1.0,0.0,0.0
stochastic_contradictions,p0.10,p0.10,0,nominal_no_repair,Nominal,6,31,13,3,3,0,0.1,,1,30,0,30,0,0,0,,0.0001861042183622829,,0.0029024767801857586,0.0,0.0,0.0,1.0,0.0,0.0
stochastic_contradictions,p0.10,p0.10,0,nominal_no_repair,Nominal,7,31,13,3,3,0,0.1,,1,30,0,30,0,0,0,,0.0001861042183622829,,0.0029024767801857586,0.0,0.0,0.0,1.0,0.0,0.0
stochastic_contradictions,p0.10,p0.10,0,threshold_2,Threshold 2,0,31,13,3,3,0,0.1,,1,30,0,30,0,0,0,,0.0001861042183622829,,0.0029024767801857586,0.0,0.0,0.0,1.0,0.0,0.0
stochastic_contradictions,p0.10,p0.10,0,threshold_2,Threshold 2,1,31,13,3,3,0,0.1,,1,30,0,30,0,0,0,,0.0001861042183622829,,0.0029024767801857586,0.0,0.0,0.0,1.0,0.0,0.0
stochastic_contradictions,p0.10,p0.10,0,threshold_2,Threshold 2,2,31,13,3,3,0,0.1,,1,30,0,30,0,0,0,,0.0001861042183622829,,0.0029024767801857586,0.0,0.0,0.0,1.0,0.0,0.0
stochastic_contradictions,p0.10,p0.10,0,threshold_2,Threshold 2,3,31,13,3,3,0,0.1,,1,30,0,30,0,0,0,,0.0001861042183622829,,0.0029024767801857586,0.0,0.0,0.0,1.0,0.0,0.0
