suite,strategy,display,rows,first_episode_success,all_episode_success,mean_first_counterexamples,mean_counterexamples,mean_steps,mean_repeated_loop,mean_final_prediction_error,mean_final_control_error,mean_patch_count,mean_guard_precision,mean_guard_recall,mean_false_block_rate
critical_sparse_faults,batch_episode_retrain,Batch episode,1080,0.0,0.8333333333333334,171.9,28.65,51.666666666666664,0.16666666666666666,0.0018061568061568062,0.024675324675324673,0.8333333333333334,1.0,0.4861111111111111,0.0
critical_sparse_faults,ccra_exact_guard,CCRA exact,1080,1.0,1.0,1.0,0.16666666666666666,26.166666666666668,0.0,0.0016054727165838278,0.021933621933621934,1.0,1.0,0.5833333333333334,0.0
critical_sparse_faults,ccra_row_guard,CCRA row,1080,1.0,1.0,1.0,0.16666666666666666,26.166666666666668,0.0,0.022080594302816524,0.3046536796536797,1.0,0.11083877995642702,1.0,0.8891612200435729
critical_sparse_faults,global_action_repair,Global action,1080,0.0,0.0,3.0,0.5,1.85,0.0,0.235920581476137,0.5327835497835498,1.0,0.01185328227811888,1.0,0.988146717721881
critical_sparse_faults,nominal_no_repair,Nominal,1080,0.0,0.0,171.9,171.9,180.0,1.0,0.0028095772540216984,0.03838383838383838,0.0,1.0,0.0,0.0
critical_sparse_faults,oracle_fault_model,Oracle,1080,1.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
critical_sparse_faults,shield_only,Shield only,1080,0.0,0.0,171.9,171.9,180.0,1.0,0.0028095772540216984,0.03838383838383838,1.0,1.0,0.0,0.0
critical_sparse_faults,threshold_8,Threshold 8,1080,1.0,1.0,8.0,1.3333333333333333,27.333333333333332,0.0,0.0016054727165838278,0.021933621933621934,1.0,1.0,0.5833333333333334,0.0
critical_sparse_faults,uncertainty_cost_avoidance,Cost avoidance,1080,1.0,1.0,1.0,0.16666666666666666,26.166666666666668,0.0,0.0028095772540216984,0.03838383838383838,1.0,1.0,0.0,0.0
guard_scope,ccra_action_guard,CCRA action,300,0.0,0.0,1.0,0.2,1.89,0.0,0.2400744416873449,0.4934210526315789,1.0,0.007692307692307692,1.0,0.9923076923076922
