threshold,first_episode_success_rate,mean_first_episode_counterexamples,ci95_first_episode_counterexamples,mean_final_prediction_error,ci95_final_prediction_error
1,1.0,1.0,0.0,0.001828703703703704,0.00033234602376502686
2,1.0,2.0,0.0,0.001828703703703704,0.00033234602376502686
4,1.0,4.0,0.0,0.001828703703703704,0.00033234602376502686
8,1.0,8.0,0.0,0.001828703703703704,0.00033234602376502686
16,1.0,16.0,0.0,0.001828703703703704,0.00033234602376502686
