seed,strategy,episode,success,steps,mismatches,replans,fault_edges,initial_prediction_error
0,nominal_no_repair,0,0,120,111,120,1,0.001851851851851852
0,nominal_no_repair,1,0,120,111,120,1,0.001851851851851852
0,nominal_no_repair,2,0,120,111,120,1,0.001851851851851852
0,nominal_no_repair,3,0,120,111,120,1,0.001851851851851852
0,nominal_no_repair,4,0,120,111,120,1,0.001851851851851852
1,nominal_no_repair,0,0,120,116,120,2,0.003703703703703704
1,nominal_no_repair,1,0,120,116,120,2,0.003703703703703704
1,nominal_no_repair,2,0,120,116,120,2,0.003703703703703704
1,nominal_no_repair,3,0,120,116,120,2,0.003703703703703704
1,nominal_no_repair,4,0,120,116,120,2,0.003703703703703704
2,nominal_no_repair,0,0,120,117,120,3,0.005555555555555556
2,nominal_no_repair,1,0,120,117,120,3,0.005555555555555556
2,nominal_no_repair,2,0,120,117,120,3,0.005555555555555556
2,nominal_no_repair,3,0,120,117,120,3,0.005555555555555556
2,nominal_no_repair,4,0,120,117,120,3,0.005555555555555556
3,nominal_no_repair,0,0,120,114,120,1,0.001851851851851852
3,nominal_no_repair,1,0,120,114,120,1,0.001851851851851852
3,nominal_no_repair,2,0,120,114,120,1,0.001851851851851852
3,nominal_no_repair,3,0,120,114,120,1,0.001851851851851852
3,nominal_no_repair,4,0,120,114,120,1,0.001851851851851852
4,nominal_no_repair,0,0,120,114,120,2,0.003703703703703704
4,nominal_no_repair,1,0,120,114,120,2,0.003703703703703704
4,nominal_no_repair,2,0,120,114,120,2,0.003703703703703704
4,nominal_no_repair,3,0,120,114,120,2,0.003703703703703704
4,nominal_no_repair,4,0,120,114,120,2,0.003703703703703704
5,nominal_no_repair,0,0,120,113,120,3,0.005555555555555556
5,nominal_no_repair,1,0,120,113,120,3,0.005555555555555556
5,nominal_no_repair,2,0,120,113,120,3,0.005555555555555556
5,nominal_no_repair,3,0,120,113,120,3,0.005555555555555556
5,nominal_no_repair,4,0,120,113,120,3,0.005555555555555556
6,nominal_no_repair,0,0,120,116,120,1,0.001851851851851852
6,nominal_no_repair,1,0,120,116,120,1,0.001851851851851852
6,nominal_no_repair,2,0,120,116,120,1,0.001851851851851852
6,nominal_no_repair,3,0,120,116,120,1,0.001851851851851852
6,nominal_no_repair,4,0,120,116,120,1,0.001851851851851852
7,nominal_no_repair,0,0,120,115,120,2,0.003703703703703704
7,nominal_no_repair,1,0,120,115,120,2,0.003703703703703704
7,nominal_no_repair,2,0,120,115,120,2,0.003703703703703704
7,nominal_no_repair,3,0,120,115,120,2,0.003703703703703704
7,nominal_no_repair,4,0,120,115,120,2,0.003703703703703704
8,nominal_no_repair,0,0,120,114,120,3,0.005555555555555556
8,nominal_no_repair,1,0,120,114,120,3,0.005555555555555556
8,nominal_no_repair,2,0,120,114,120,3,0.005555555555555556
8,nominal_no_repair,3,0,120,114,120,3,0.005555555555555556
8,nominal_no_repair,4,0,120,114,120,3,0.005555555555555556
9,nominal_no_repair,0,0,120,110,120,1,0.001851851851851852
9,nominal_no_repair,1,0,120,110,120,1,0.001851851851851852
9,nominal_no_repair,2,0,120,110,120,1,0.001851851851851852
9,nominal_no_repair,3,0,120,110,120,1,0.001851851851851852
9,nominal_no_repair,4,0,120,110,120,1,0.001851851851851852
10,nominal_no_repair,0,0,120,117,120,2,0.003703703703703704
10,nominal_no_repair,1,0,120,117,120,2,0.003703703703703704
10,nominal_no_repair,2,0,120,117,120,2,0.003703703703703704
10,nominal_no_repair,3,0,120,117,120,2,0.003703703703703704
10,nominal_no_repair,4,0,120,117,120,2,0.003703703703703704
11,nominal_no_repair,0,0,120,114,120,3,0.005555555555555556
11,nominal_no_repair,1,0,120,114,120,3,0.005555555555555556
11,nominal_no_repair,2,0,120,114,120,3,0.005555555555555556
11,nominal_no_repair,3,0,120,114,120,3,0.005555555555555556
11,nominal_no_repair,4,0,120,114,120,3,0.005555555555555556
12,nominal_no_repair,0,0,120,110,120,1,0.001851851851851852
12,nominal_no_repair,1,0,120,110,120,1,0.001851851851851852
12,nominal_no_repair,2,0,120,110,120,1,0.001851851851851852
12,nominal_no_repair,3,0,120,110,120,1,0.001851851851851852
12,nominal_no_repair,4,0,120,110,120,1,0.001851851851851852
13,nominal_no_repair,0,0,120,113,120,2,0.003703703703703704
13,nominal_no_repair,1,0,120,113,120,2,0.003703703703703704
13,nominal_no_repair,2,0,120,113,120,2,0.003703703703703704
13,nominal_no_repair,3,0,120,113,120,2,0.003703703703703704
13,nominal_no_repair,4,0,120,113,120,2,0.003703703703703704
14,nominal_no_repair,0,0,120,116,120,3,0.005555555555555556
14,nominal_no_repair,1,0,120,116,120,3,0.005555555555555556
14,nominal_no_repair,2,0,120,116,120,3,0.005555555555555556
14,nominal_no_repair,3,0,120,116,120,3,0.005555555555555556
14,nominal_no_repair,4,0,120,116,120,3,0.005555555555555556
15,nominal_no_repair,0,0,120,114,120,1,0.001851851851851852
15,nominal_no_repair,1,0,120,114,120,1,0.001851851851851852
15,nominal_no_repair,2,0,120,114,120,1,0.001851851851851852
15,nominal_no_repair,3,0,120,114,120,1,0.001851851851851852
15,nominal_no_repair,4,0,120,114,120,1,0.001851851851851852
16,nominal_no_repair,0,0,120,112,120,2,0.003703703703703704
